"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 29-Jul-2020","30 D % CHNG 
 29-Jun-2021"
"NIFTY MIDSMALLCAP 400","10,162.05","10,167.30","10,147.10","10,124.00","10,147.30","23.30","0.23",179994710,"21,540,029,714.66","10,127.90","5,496.35","90.62","5.11"
"BALAMINES","3,500.00","3,619.00","3,434.00","3,318.25","3,488.10","169.85","5.12",118956,"419,491,196.64","3,619.00","566.45","481.69","19.14"
"LAOPALA","290.10","303.50","290.10","288.70","302.50","13.80","4.78",151884,"45,264,469.68","296.25","176.35","59.72","7.22"
"SUZLON","6.75","6.90","6.70","6.60","6.90","0.30","4.55",23378444,"160,376,125.84","9.45","2.70","53.49","-25.00"
"ALKYLAMINE","4,500.00","4,579.95","4,500.00","4,413.90","4,550.00","136.10","3.08",30875,"140,247,835.00","4,749.00","900.40","96.24","19.42"
"ASTRAL","2,213.40","2,255.00","2,191.40","2,179.70","2,237.00","57.30","2.63",82005,"183,251,653.20","2,630.00","930.00","125.99","6.81"
"GUJALKALI","485.10","509.00","485.10","488.00","500.50","12.50","2.56",236002,"117,779,158.12","509.00","304.65","55.61","16.75"
"DEEPAKNTR","2,080.00","2,128.00","2,065.60","2,061.30","2,111.70","50.40","2.45",494605,"1,042,226,709.95","2,128.00","567.00","220.50","6.94"
"BHARATFORG","789.20","809.35","787.50","785.30","804.05","18.75","2.39",313834,"251,242,947.04","832.00","376.00","105.60","1.74"
"ANGELBRKG","1,351.00","1,395.95","1,330.00","1,305.95","1,335.45","29.50","2.26",241352,"330,184,017.12","1,475.00","222.20","-","48.90"
"NCC","89.45","89.50","88.35","86.65","88.60","1.95","2.25",1212168,"107,628,396.72","99.85","28.80","198.79","-3.83"
"IIFLWAM","1,460.00","1,497.00","1,449.95","1,432.50","1,464.50","32.00","2.23",18683,"27,603,011.52","1,497.00","856.90","33.85","24.54"
"VALIANTORG","1,353.25","1,384.90","1,353.25","1,338.80","1,368.00","29.20","2.18",7146,"9,795,593.88","1,991.00","1,121.00","-","-13.56"
"CASTROLIND","141.00","142.70","139.85","138.15","141.10","2.95","2.14",945526,"133,375,897.56","154.90","104.00","21.77","-3.32"
"KSCL","772.00","789.75","770.05","761.35","777.00","15.65","2.06",144637,"113,175,559.76","816.65","463.05","25.99","-0.61"
"SOLARA","1,746.05","1,779.65","1,742.15","1,730.30","1,765.00","34.70","2.01",26825,"47,255,993.00","1,859.95","778.30","127.39","0.65"
"JKLAKSHMI","681.00","696.95","681.00","678.60","691.55","12.95","1.91",72007,"49,804,361.62","816.00","243.20","130.54","16.18"
"GODREJIND","550.70","559.00","549.40","547.80","558.25","10.45","1.91",29730,"16,517,096.10","611.55","350.10","54.53","-4.71"
"NAVINFLUOR","3,704.95","3,766.00","3,700.00","3,685.75","3,753.95","68.20","1.85",45532,"170,670,782.84","4,015.00","1,742.30","109.31","-2.98"
"BALKRISIND","2,490.00","2,554.95","2,481.75","2,499.40","2,545.55","46.15","1.85",179098,"452,774,071.84","2,554.95","1,237.50","89.05","8.72"
"CGCL","550.00","556.95","548.35","543.95","553.95","10.00","1.84",25153,"13,930,234.46","578.40","192.05","166.64","3.55"
"PRESTIGE","365.10","373.50","365.10","364.40","371.00","6.60","1.81",365251,"135,292,622.91","373.50","194.25","85.07","27.93"
"KAJARIACER","1,005.80","1,026.75","1,001.15","1,000.45","1,018.50","18.05","1.80",39525,"40,264,908.00","1,054.90","397.10","146.78","1.27"
"JYOTHYLAB","174.00","174.50","173.50","171.20","174.25","3.05","1.78",63283,"11,020,734.45","187.30","120.55","38.96","1.90"
"ABCAPITAL","119.45","121.30","119.40","118.95","121.05","2.10","1.77",586609,"70,703,982.77","139.70","53.00","119.87","1.23"
"SANOFI","8,612.00","8,719.00","8,612.00","8,558.10","8,708.70","150.60","1.76",5186,"45,086,824.70","8,989.00","7,424.00","10.17","11.18"
"SCI","110.10","111.70","110.05","109.70","111.55","1.85","1.69",296677,"32,954,881.16","134.65","49.80","103.15","0.50"
"ECLERX","2,350.00","2,359.00","2,329.30","2,309.30","2,348.00","38.70","1.68",599,"1,407,757.82","2,359.00","460.55","-","10.73"
"CHOLAHLDNG","669.00","669.00","655.60","652.25","662.65","10.40","1.59",3027,"2,001,149.70","711.00","325.00","96.70","-0.31"
"SIS","497.40","503.00","496.00","493.55","501.30","7.75","1.57",27070,"13,552,595.50","534.80","341.00","36.62","14.83"
"APLAPOLLO","1,789.00","1,809.55","1,780.05","1,773.45","1,801.00","27.55","1.55",19200,"34,547,328.00","1,849.85","363.67","-3.67","8.79"
"GODREJPROP","1,660.00","1,687.55","1,660.00","1,657.70","1,682.00","24.30","1.47",211880,"354,765,515.60","1,687.55","819.75","78.90","19.40"
"KPRMILL","2,004.85","2,020.00","1,975.95","1,957.60","1,985.80","28.20","1.44",9298,"18,579,542.54","2,085.00","415.00","366.87","27.48"
"JSWENERGY","244.00","247.50","240.00","243.50","247.00","3.50","1.44",115655,"28,188,593.15","258.30","44.75","-","-"
"HATSUN","954.80","965.00","954.00","945.50","959.05","13.55","1.43",5235,"5,025,442.95","1,035.00","487.51","42.80","4.32"
"SHRIRAMCIT","1,835.00","1,866.75","1,835.00","1,822.15","1,848.10","25.95","1.42",2342,"4,347,337.50","1,962.90","651.80","177.45","8.09"
"BRIGADE","336.90","343.70","336.00","334.25","339.00","4.75","1.42",102355,"34,856,995.25","358.00","135.95","137.99","19.33"
"PNBHOUSING","690.00","693.10","670.00","679.50","689.00","9.50","1.40",4234,"2,888,985.22","925.00","207.85","-","-1.91"
"VTL","1,889.45","1,911.00","1,877.10","1,872.40","1,898.40","26.00","1.39",12860,"24,443,773.60","2,009.95","651.35","181.46","35.37"
"MPHASIS","2,636.45","2,669.75","2,636.45","2,626.80","2,661.80","35.00","1.33",79238,"210,490,200.34","2,677.50","1,081.85","126.85","21.90"
"RAYMOND","449.20","454.20","447.80","447.40","453.25","5.85","1.31",55130,"24,881,271.60","473.90","233.35","87.12","8.70"
"HEMIPROP","146.00","148.65","145.70","145.50","147.40","1.90","1.31",146985,"21,696,455.85","201.80","54.40","-","3.82"
"SUMICHEM","431.00","435.00","431.00","428.70","434.25","5.55","1.29",36019,"15,609,193.84","458.00","258.00","60.47","11.32"
"AJANTPHARM","2,265.00","2,299.15","2,260.00","2,253.55","2,282.60","29.05","1.29",8233,"18,822,037.61","2,435.00","1,424.50","38.32","6.14"
"TTKPRESTIG","8,770.00","8,798.00","8,713.90","8,686.50","8,798.00","111.50","1.28",231,"2,025,756.81","9,589.15","5,020.00","50.20","-7.84"
"ALEMBICLTD","123.40","125.25","123.35","122.65","124.20","1.55","1.26",70800,"8,804,688.00","143.30","79.05","54.86","-2.54"
"VIPIND","427.00","427.00","418.05","415.80","421.05","5.25","1.26",68070,"28,797,013.50","437.70","258.30","53.66","6.74"
"AARTIIND","954.00","963.00","950.80","948.15","960.00","11.85","1.25",68757,"65,838,952.92","965.00","483.23","-4.27","8.45"
"ASAHIINDIA","381.45","383.15","375.70","377.30","382.00","4.70","1.25",12350,"4,690,653.50","408.30","169.25","119.55","10.22"
"DHANUKA","941.00","944.90","935.80","927.70","939.10","11.40","1.23",8277,"7,785,842.82","1,053.90","658.00","17.13","-6.64"
"KALPATPOWR","480.00","487.00","479.95","478.65","484.50","5.85","1.22",25707,"12,438,589.02","494.50","224.25","108.93","12.64"
"PRINCEPIPE","695.80","698.95","694.25","689.70","697.85","8.15","1.18",30895,"21,532,270.25","794.40","107.15","511.71","-6.81"
"EMAMILTD","574.85","582.60","574.85","569.80","576.50","6.70","1.18",93891,"54,347,866.44","582.60","236.00","137.57","1.10"
"DCAL","211.50","212.75","211.05","210.10","212.50","2.40","1.14",31903,"6,758,650.55","235.30","102.50","6.95","-1.29"
"JMFINANCIL","103.00","103.95","102.95","102.35","103.50","1.15","1.12",391580,"40,524,614.20","117.70","72.95","37.01","13.53"
"FCONSUMER","9.15","9.20","9.05","9.00","9.10","0.10","1.11",554272,"5,049,417.92","12.60","5.85","-19.64","-8.16"
"NOCIL","273.95","278.45","273.25","271.55","274.55","3.00","1.10",460727,"127,091,542.95","278.45","104.90","158.37","17.83"
